223.181.62.13,107.20.164.42,56,0.000000000,0.0000,0 objects
223.181.62.13,107.20.164.42,821,0.000555000,0.5031,0 objects
223.181.62.13,107.20.176.85,3132,0.049789000,1.7632,1 objects with urls like: http://ads.mobclix.com/?p=android&i=B2AA25CC-205D-...
223.181.62.13,204.236.220.251,1210,1.946171000,1.9026,1 objects with urls like: http://s.mobclix.com/imp?rid=7ae3897c374d45f4b9a18...
223.181.62.13,204.236.220.251,424,1.955394000,3.1196,0 objects
223.181.62.13,50.19.220.231,1689,1.983254000,5.0955,1 objects with urls like: http://f121.smaato.net/oapi/getAd.jsp;jsessionid=E...
223.181.62.13,74.125.128.188,550,3.454489000,0.0002,0 objects
223.181.62.13,207.171.163.132,1368,3.674925000,6.5360,1 objects with urls like: http://smaato-ads.s3.amazonaws.com/136075635808768...
223.181.62.13,207.171.163.132,368,3.742256000,3.3628,0 objects
223.181.62.13,74.125.236.31,2683,5.707165000,15.4442,2 objects with urls like: http://www.google.co.in/m/gne/suggest/v2?q=t&hl=en...
223.181.62.13,74.125.236.31,2418,6.457173000,14.6943,1 objects with urls like: http://www.google.co.in/m/gne/suggest/v2?q=ti&hl=e...
223.181.62.13,96.17.182.40,49365,6.945339000,6.4100,3 objects with urls like: http://timesofindia.indiatimes.com/	7.195982000...
223.181.62.13,23.35.84.211,29612,7.971289000,6.2731,3 objects with urls like: http://cdn.optimizely.com/js/83181943.js	8.2688200...
223.181.62.13,96.17.182.40,424,8.176438000,3.0646,0 objects
223.181.62.13,23.35.84.211,580,8.222101000,3.1431,0 objects
223.181.62.13,184.30.63.139,61684,8.407763000,6.9568,2 objects with urls like: http://connect.facebook.net/en_US/all.js	9.2573180...
223.181.62.13,223.165.31.15,1386,8.426747000,2.9280,1 objects with urls like: http://ads.indiatimes.com/ads.dll/genptypead?sloti...
223.181.62.13,223.165.31.12,1936,8.431728000,4.9735,1 objects with urls like: http://netspiderads3.indiatimes.com/ads.dll/getjso...
223.181.62.13,223.165.31.19,1868,8.434140000,4.9713,1 objects with urls like: http://netspideradswc.indiatimes.com/ads.dll/getjs...
223.181.62.13,184.30.63.139,580,8.659577000,3.8758,0 objects
223.181.62.13,223.165.31.15,416,8.686233000,3.8490,0 objects
223.181.62.13,223.165.31.12,416,8.686609000,3.8487,0 objects
223.181.62.13,223.165.31.19,416,8.686848000,3.8485,0 objects
223.181.62.13,223.165.25.37,2336,9.997587000,4.2470,1 objects with urls like: http://timeslog.indiatimes.com/timeslog.dll/topcnt...
223.181.62.13,223.165.25.37,1688,10.007569000,4.2371,1 objects with urls like: http://cmstrendslog.indiatimes.com/cmslog.dll?cms-...
223.181.62.13,74.125.236.15,5577,10.009816000,27.2256,0 objects
223.181.62.13,74.125.236.9,19683,10.055847000,5.2888,2 objects with urls like: http://www.google-analytics.com/ga.js	11.099110000...
223.181.62.13,96.17.182.58,3899,10.057755000,4.5793,2 objects with urls like: http://b.scorecardresearch.com/beacon.js	11.083165...
223.181.62.13,223.165.25.37,416,10.248531000,3.1765,0 objects
223.181.62.13,223.165.25.37,416,10.259018000,3.1460,0 objects
223.181.62.13,74.125.236.15,580,10.260408000,3.1250,0 objects
223.181.62.13,74.125.236.9,580,10.306953000,3.1179,0 objects
223.181.62.13,96.17.182.58,492,10.308596000,3.0311,0 objects
