
===================================================================
IO Statistics
534.500-535.000       0         0 
535.000-535.500       0         0 
535.500-536.000       0         0 
536.000-536.500       0         0 
536.500-537.000       0         0 
537.000-537.500       0         0 
537.500-538.000       0         0 
538.000-538.500       0         0 
538.500-539.000       0         0 
539.000-539.500       0         0 
539.500-540.000       0         0 
540.000-540.500       0         0 
540.500-541.000       0         0 
541.000-541.500       0         0 
541.500-542.000       0         0 
542.000-542.500       0         0 
542.500-543.000       0         0 
543.000-543.500       0         0 
543.500-544.000       0         0 
544.000-544.500       0         0 
544.500-545.000       0         0 
545.000-545.500       0         0 
545.500-546.000       0         0 
546.000-546.500       0         0 
546.500-547.000       0         0 
547.000-547.500       0         0 
547.500-548.000       0         0 
548.000-548.500       0         0 
548.500-549.000       0         0 
549.000-549.500       0         0 
549.500-550.000       0         0 
550.000-550.500       0         0 
550.500-551.000       0         0 
551.000-551.500       0         0 
551.500-552.000       0         0 
552.000-552.500       0         0 
552.500-553.000       0         0 
553.000-553.500       0         0 
553.500-554.000       0         0 
554.000-554.500       0         0 
554.500-555.000       0         0 
555.000-555.500       0         0 
555.500-556.000       0         0 
556.000-556.500       0         0 
556.500-557.000       0         0 
557.000-557.500       0         0 
557.500-558.000       0         0 
558.000-558.500       0         0 
558.500-559.000       0         0 
559.000-559.500       0         0 
559.500-560.000       0         0 
560.000-560.500       0         0 
560.500-561.000       0         0 
561.000-561.500       0         0 
561.500-562.000       0         0 
562.000-562.500       0         0 
562.500-563.000       0         0 
563.000-563.500       0         0 
563.500-564.000       0         0 
564.000-564.500       0         0 
564.500-565.000       0         0 
565.000-565.500       0         0 
565.500-566.000       0         0 
566.000-566.500       0         0 
566.500-567.000       0         0 
567.000-567.500       0         0 
567.500-568.000       0         0 
568.000-568.500       0         0 
568.500-569.000       0         0 
569.000-569.500       0         0 
569.500-570.000       0         0 
570.000-570.500       0         0 
570.500-571.000       0         0 
571.000-571.500       0         0 
571.500-572.000       0         0 
572.000-572.500       0         0 
572.500-573.000       0         0 
573.000-573.500       0         0 
573.500-574.000       0         0 
574.000-574.500       0         0 
574.500-575.000       0         0 
575.000-575.500       0         0 
575.500-576.000       0         0 
576.000-576.500       0         0 
576.500-577.000       0         0 
577.000-577.500       0         0 
577.500-578.000       0         0 
578.000-578.500       0         0 
578.500-579.000       0         0 
579.000-579.500       0         0 
579.500-580.000       0         0 
580.000-580.500       0         0 
580.500-581.000       0         0 
581.000-581.500       0         0 
581.500-582.000       0         0 
582.000-582.500       0         0 
582.500-583.000       0         0 
583.000-583.500       0         0 
583.500-584.000       0         0 
584.000-584.500       0         0 
584.500-585.000       0         0 
585.000-585.500       0         0 
585.500-586.000       0         0 
586.000-586.500       0         0 
586.500-587.000       0         0 
587.000-587.500       0         0 
587.500-588.000       0         0 
588.000-588.500       0         0 
588.500-589.000       0         0 
589.000-589.500       0         0 
589.500-590.000       0         0 
590.000-590.500       0         0 
590.500-591.000       0         0 
591.000-591.500       0         0 
591.500-592.000       0         0 
592.000-592.500       0         0 
592.500-593.000       0         0 
593.000-593.500       0         0 
593.500-594.000       0         0 
594.000-594.500       0         0 
594.500-595.000       0         0 
595.000-595.500       0         0 
595.500-596.000       0         0 
596.000-596.500       0         0 
596.500-597.000       0         0 
597.000-597.500       0         0 
597.500-598.000       0         0 
598.000-598.500       0         0 
598.500-599.000       0         0 
599.000-599.500       0         0 
599.500-600.000       0         0 
600.000-600.500       0         0 
600.500-601.000       0         0 
601.000-601.500       0         0 
601.500-602.000       0         0 
602.000-602.500       0         0 
602.500-603.000       0         0 
603.000-603.500       0         0 
603.500-604.000       0         0 
604.000-604.500       0         0 
604.500-605.000       0         0 
605.000-605.500       0         0 
605.500-606.000       0         0 
606.000-606.500       0         0 
606.500-607.000       0         0 
607.000-607.500       0         0 
607.500-608.000       0         0 
608.000-608.500       0         0 
608.500-609.000       0         0 
609.000-609.500       0         0 
609.500-610.000       0         0 
610.000-610.500       0         0 
610.500-611.000       0         0 
611.000-611.500       0         0 
611.500-612.000       0         0 
612.000-612.500       0         0 
612.500-613.000       0         0 
613.000-613.500       0         0 
613.500-614.000       0         0 
614.000-614.500       0         0 
614.500-615.000       0         0 
615.000-615.500       0         0 
615.500-616.000       0         0 
616.000-616.500       0         0 
616.500-617.000       0         0 
617.000-617.500       0         0 
617.500-618.000       0         0 
618.000-618.500       0         0 
618.500-619.000       0         0 
619.000-619.500       0         0 
619.500-620.000       0         0 
620.000-620.500       0         0 
620.500-621.000       0         0 
621.000-621.500       0         0 
621.500-622.000       0         0 
622.000-622.500       0         0 
622.500-623.000       0         0 
623.000-623.500       0         0 
623.500-624.000       0         0 
624.000-624.500       0         0 
624.500-625.000       0         0 
625.000-625.500       0         0 
625.500-626.000       0         0 
626.000-626.500       0         0 
626.500-627.000       0         0 
627.000-627.500       0         0 
627.500-628.000       0         0 
628.000-628.500       0         0 
628.500-629.000       0         0 
629.000-629.500       0         0 
629.500-630.000       0         0 
630.000-630.500       0         0 
630.500-631.000       0         0 
631.000-631.500       0         0 
631.500-632.000       0         0 
632.000-632.500       0         0 
632.500-633.000       0         0 
633.000-633.500       0         0 
633.500-634.000       0         0 
634.000-634.500       0         0 
634.500-635.000       0         0 
635.000-635.500       0         0 
635.500-636.000       0         0 
636.000-636.500       0         0 
636.500-637.000       0         0 
637.000-637.500       0         0 
637.500-638.000       0         0 
638.000-638.500       0         0 
638.500-639.000       0         0 
639.000-639.500       0         0 
639.500-640.000       0         0 
640.000-640.500       0         0 
640.500-641.000       0         0 
641.000-641.500       0         0 
641.500-642.000       0         0 
642.000-642.500       0         0 
642.500-643.000       0         0 
643.000-643.500       0         0 
643.500-644.000       0         0 
644.000-644.500       0         0 
644.500-645.000       0         0 
645.000-645.500       0         0 
645.500-646.000       0         0 
646.000-646.500       0         0 
646.500-647.000       0         0 
647.000-647.500       0         0 
647.500-648.000       0         0 
648.000-648.500       0         0 
648.500-649.000       0         0 
649.000-649.500       0         0 
649.500-650.000       0         0 
650.000-650.500       0         0 
650.500-651.000       0         0 
651.000-651.500       0         0 
651.500-652.000       0         0 
652.000-652.500       0         0 
652.500-653.000       0         0 
653.000-653.500       0         0 
653.500-654.000       0         0 
654.000-654.500       0         0 
654.500-655.000       0         0 
655.000-655.500       0         0 
655.500-656.000       0         0 
656.000-656.500       0         0 
656.500-657.000       0         0 
657.000-657.500       0         0 
657.500-658.000       0         0 
658.000-658.500       0         0 
658.500-659.000       0         0 
659.000-659.500       0         0 
659.500-660.000       0         0 
660.000-660.500       0         0 
660.500-661.000       0         0 
661.000-661.500       0         0 
661.500-662.000       0         0 
662.000-662.500       0         0 
662.500-663.000       0         0 
663.000-663.500       0         0 
663.500-664.000       0         0 
664.000-664.500       0         0 
664.500-665.000       0         0 
665.000-665.500       0         0 
665.500-666.000       0         0 
666.000-666.500       0         0 
666.500-667.000       0         0 
667.000-667.500       0         0 
667.500-668.000       0         0 
668.000-668.500       0         0 
668.500-669.000       0         0 
669.000-669.500       0         0 
669.500-670.000       0         0 
670.000-670.500       0         0 
670.500-671.000       0         0 
671.000-671.500       0         0 
671.500-672.000       0         0 
672.000-672.500       0         0 
672.500-673.000       0         0 
673.000-673.500       0         0 
673.500-674.000       0         0 
674.000-674.500       0         0 
674.500-675.000       0         0 
675.000-675.500       0         0 
675.500-676.000       0         0 
676.000-676.500       0         0 
676.500-677.000       0         0 
677.000-677.500       0         0 
677.500-678.000       0         0 
678.000-678.500       0         0 
678.500-679.000       0         0 
679.000-679.500       0         0 
679.500-680.000       0         0 
680.000-680.500       0         0 
680.500-681.000       0         0 
681.000-681.500       0         0 
681.500-682.000       0         0 
682.000-682.500       0         0 
682.500-683.000       0         0 
683.000-683.500       0         0 
683.500-684.000       0         0 
684.000-684.500       0         0 
684.500-685.000       0         0 
685.000-685.500       0         0 
685.500-686.000       0         0 
686.000-686.500       0         0 
686.500-687.000       0         0 
687.000-687.500       0         0 
687.500-688.000       0         0 
688.000-688.500       0         0 
688.500-689.000       0         0 
689.000-689.500       0         0 
689.500-690.000       0         0 
690.000-690.500       0         0 
690.500-691.000       0         0 
691.000-691.500       0         0 
691.500-692.000       0         0 
692.000-692.500       0         0 
692.500-693.000       0         0 
693.000-693.500       0         0 
693.500-694.000       0         0 
694.000-694.500       0         0 
694.500-695.000       0         0 
695.000-695.500       0         0 
695.500-696.000       0         0 
696.000-696.500       0         0 
696.500-697.000       0         0 
697.000-697.500       0         0 
697.500-698.000       0         0 
698.000-698.500       0         0 
698.500-699.000       0         0 
699.000-699.500       0         0 
699.500-700.000       0         0 
700.000-700.500       0         0 
700.500-701.000       0         0 
701.000-701.500       0         0 
701.500-702.000       0         0 
702.000-702.500       0         0 
702.500-703.000       0         0 
703.000-703.500       0         0 
703.500-704.000       0         0 
704.000-704.500       0         0 
704.500-705.000       0         0 
705.000-705.500       0         0 
705.500-706.000       0         0 
706.000-706.500       0         0 
706.500-707.000       0         0 
707.000-707.500       0         0 
707.500-708.000       0         0 
708.000-708.500       0         0 
708.500-709.000       0         0 
709.000-709.500       0         0 
709.500-710.000       0         0 
710.000-710.500       0         0 
710.500-711.000       0         0 
711.000-711.500       0         0 
711.500-712.000       0         0 
712.000-712.500       0         0 
712.500-713.000       0         0 
713.000-713.500       0         0 
713.500-714.000       0         0 
714.000-714.500       0         0 
714.500-715.000       0         0 
715.000-715.500       0         0 
715.500-716.000       0         0 
716.000-716.500       0         0 
716.500-717.000       0         0 
717.000-717.500       0         0 
717.500-718.000       0         0 
718.000-718.500       0         0 
718.500-719.000       0         0 
719.000-719.500       0         0 
719.500-720.000       0         0 
720.000-720.500       0         0 
720.500-721.000       0         0 
721.000-721.500       0         0 
721.500-722.000       0         0 
722.000-722.500       0         0 
722.500-723.000       0         0 
723.000-723.500       0         0 
723.500-724.000       0         0 
724.000-724.500       0         0 
724.500-725.000       0         0 
725.000-725.500       0         0 
725.500-726.000       0         0 
726.000-726.500       0         0 
726.500-727.000       0         0 
727.000-727.500       0         0 
727.500-728.000       0         0 
728.000-728.500       0         0 
728.500-729.000       0         0 
729.000-729.500       0         0 
729.500-730.000       0         0 
730.000-730.500       0         0 
730.500-731.000       0         0 
731.000-731.500       0         0 
731.500-732.000       0         0 
732.000-732.500       0         0 
732.500-733.000       0         0 
733.000-733.500       0         0 
733.500-734.000       0         0 
734.000-734.500       0         0 
734.500-735.000       0         0 
735.000-735.500       0         0 
735.500-736.000       0         0 
736.000-736.500       0         0 
736.500-737.000       0         0 
737.000-737.500       0         0 
737.500-738.000       0         0 
738.000-738.500       0         0 
738.500-739.000       0         0 
739.000-739.500       0         0 
739.500-740.000       0         0 
740.000-740.500       0         0 
740.500-741.000       0         0 
741.000-741.500       0         0 
741.500-742.000       0         0 
742.000-742.500       0         0 
742.500-743.000       0         0 
743.000-743.500       0         0 
743.500-744.000       0         0 
744.000-744.500       0         0 
744.500-745.000       0         0 
745.000-745.500       0         0 
745.500-746.000       0         0 
746.000-746.500       0         0 
746.500-747.000       0         0 
747.000-747.500       0         0 
747.500-748.000       0         0 
748.000-748.500       0         0 
748.500-749.000       0         0 
749.000-749.500       0         0 
749.500-750.000       0         0 
750.000-750.500       0         0 
750.500-751.000       0         0 
751.000-751.500       0         0 
751.500-752.000       0         0 
752.000-752.500       0         0 
752.500-753.000       0         0 
753.000-753.500       0         0 
753.500-754.000       0         0 
754.000-754.500       0         0 
754.500-755.000       0         0 
755.000-755.500       0         0 
755.500-756.000       0         0 
756.000-756.500       0         0 
756.500-757.000       0         0 
757.000-757.500       0         0 
757.500-758.000       0         0 
758.000-758.500       0         0 
758.500-759.000       0         0 
759.000-759.500       0         0 
759.500-760.000       0         0 
760.000-760.500       0         0 
760.500-761.000       0         0 
761.000-761.500       0         0 
761.500-762.000       0         0 
762.000-762.500       0         0 
762.500-763.000       0         0 
763.000-763.500       0         0 
763.500-764.000       0         0 
764.000-764.500       0         0 
764.500-765.000       0         0 
765.000-765.500       0         0 
765.500-766.000       0         0 
766.000-766.500       0         0 
766.500-767.000       0         0 
767.000-767.500       0         0 
767.500-768.000       0         0 
768.000-768.500       0         0 
768.500-769.000       0         0 
769.000-769.500       0         0 
769.500-770.000       0         0 
770.000-770.500       0         0 
770.500-771.000       0         0 
771.000-771.500       0         0 
771.500-772.000       0         0 
772.000-772.500       0         0 
772.500-773.000       0         0 
773.000-773.500       0         0 
773.500-774.000       0         0 
774.000-774.500       0         0 
774.500-775.000       0         0 
775.000-775.500       0         0 
775.500-776.000       0         0 
776.000-776.500       0         0 
776.500-777.000       0         0 
777.000-777.500       0         0 
777.500-778.000       0         0 
778.000-778.500       0         0 
778.500-779.000       0         0 
779.000-779.500       0         0 
779.500-780.000       0         0 
780.000-780.500       0         0 
780.500-781.000       0         0 
781.000-781.500       0         0 
781.500-782.000       0         0 
782.000-782.500       0         0 
782.500-783.000       0         0 
783.000-783.500       0         0 
783.500-784.000       0         0 
784.000-784.500       0         0 
784.500-785.000       0         0 
785.000-785.500       0         0 
785.500-786.000       0         0 
786.000-786.500       0         0 
786.500-787.000       0         0 
787.000-787.500       0         0 
787.500-788.000       0         0 
788.000-788.500       0         0 
788.500-789.000       0         0 
789.000-789.500       0         0 
789.500-790.000       0         0 
790.000-790.500       0         0 
790.500-791.000       0         0 
791.000-791.500       0         0 
791.500-792.000       0         0 
792.000-792.500       0         0 
792.500-793.000       0         0 
793.000-793.500       0         0 
793.500-794.000       0         0 
794.000-794.500       0         0 
794.500-795.000       0         0 
795.000-795.500       0         0 
795.500-796.000       0         0 
796.000-796.500       0         0 
796.500-797.000       0         0 
797.000-797.500       0         0 
797.500-798.000       0         0 
798.000-798.500       0         0 
798.500-799.000       0         0 
799.000-799.500       0         0 
799.500-800.000       0         0 
800.000-800.500       0         0 
800.500-801.000       0         0 
801.000-801.500       0         0 
801.500-802.000       0         0 
802.000-802.500       0         0 
802.500-803.000       0         0 
803.000-803.500       0         0 
803.500-804.000       0         0 
804.000-804.500       0         0 
804.500-805.000       0         0 
805.000-805.500       0         0 
805.500-806.000       0         0 
806.000-806.500       0         0 
806.500-807.000       0         0 
807.000-807.500       0         0 
807.500-808.000       0         0 
808.000-808.500       0         0 
808.500-809.000       0         0 
809.000-809.500       0         0 
809.500-810.000       0         0 
810.000-810.500       0         0 
810.500-811.000       0         0 
811.000-811.500       0         0 
811.500-812.000       0         0 
812.000-812.500       0         0 
812.500-813.000       0         0 
813.000-813.500       0         0 
813.500-814.000       0         0 
814.000-814.500       0         0 
814.500-815.000       0         0 
815.000-815.500       0         0 
815.500-816.000       0         0 
816.000-816.500       0         0 
816.500-817.000       0         0 
817.000-817.500       0         0 
817.500-818.000       0         0 
818.000-818.500       0         0 
818.500-819.000       0         0 
819.000-819.500       0         0 
819.500-820.000       0         0 
820.000-820.500       0         0 
820.500-821.000       0         0 
821.000-821.500       0         0 
821.500-822.000       0         0 
822.000-822.500       0         0 
822.500-823.000       0         0 
823.000-823.500       0         0 
823.500-824.000       0         0 
824.000-824.500       0         0 
824.500-825.000       0         0 
825.000-825.500       0         0 
825.500-826.000       0         0 
826.000-826.500       0         0 
826.500-827.000       0         0 
827.000-827.500       0         0 
827.500-828.000       0         0 
828.000-828.500       0         0 
828.500-829.000       0         0 
829.000-829.500       0         0 
829.500-830.000       0         0 
830.000-830.500       0         0 
830.500-831.000       0         0 
831.000-831.500       0         0 
831.500-832.000       0         0 
832.000-832.500       0         0 
832.500-833.000       0         0 
833.000-833.500       0         0 
833.500-834.000       0         0 
834.000-834.500       0         0 
834.500-835.000       0         0 
835.000-835.500       0         0 
835.500-836.000       0         0 
836.000-836.500       0         0 
836.500-837.000       0         0 
837.000-837.500       0         0 
837.500-838.000       0         0 
838.000-838.500       0         0 
838.500-839.000       0         0 
839.000-839.500       0         0 
839.500-840.000       0         0 
840.000-840.500       0         0 
840.500-841.000       0         0 
841.000-841.500       0         0 
841.500-842.000       0         0 
842.000-842.500       0         0 
842.500-843.000       0         0 
843.000-843.500       0         0 
843.500-844.000       0         0 
844.000-844.500       0         0 
844.500-845.000       0         0 
845.000-845.500       0         0 
845.500-846.000       0         0 
846.000-846.500       0         0 
846.500-847.000       0         0 
847.000-847.500       0         0 
847.500-848.000       0         0 
848.000-848.500       0         0 
848.500-849.000       0         0 
849.000-849.500       0         0 
849.500-850.000       0         0 
850.000-850.500       0         0 
850.500-851.000       0         0 
851.000-851.500       0         0 
851.500-852.000       0         0 
852.000-852.500       0         0 
852.500-853.000       0         0 
853.000-853.500       0         0 
853.500-854.000       0         0 
854.000-854.500       0         0 
854.500-855.000       0         0 
855.000-855.500       0         0 
855.500-856.000       0         0 
856.000-856.500       0         0 
856.500-857.000       0         0 
857.000-857.500       0         0 
857.500-858.000       0         0 
858.000-858.500       0         0 
858.500-859.000       0         0 
859.000-859.500       0         0 
859.500-860.000       0         0 
860.000-860.500       0         0 
860.500-861.000       0         0 
861.000-861.500       0         0 
861.500-862.000       0         0 
862.000-862.500       0         0 
862.500-863.000       0         0 
863.000-863.500       0         0 
863.500-864.000       0         0 
864.000-864.500       0         0 
864.500-865.000       0         0 
865.000-865.500       0         0 
865.500-866.000       0         0 
866.000-866.500       0         0 
866.500-867.000       0         0 
867.000-867.500       0         0 
867.500-868.000       0         0 
868.000-868.500       0         0 
868.500-869.000       0         0 
869.000-869.500       0         0 
869.500-870.000       0         0 
870.000-870.500       0         0 
870.500-871.000       0         0 
871.000-871.500       0         0 
871.500-872.000       0         0 
872.000-872.500       0         0 
872.500-873.000       0         0 
873.000-873.500       0         0 
873.500-874.000       0         0 
874.000-874.500       0         0 
874.500-875.000       0         0 
875.000-875.500       0         0 
875.500-876.000       0         0 
876.000-876.500       0         0 
876.500-877.000       0         0 
877.000-877.500       0         0 
877.500-878.000       0         0 
878.000-878.500       0         0 
878.500-879.000       0         0 
879.000-879.500       0         0 
879.500-880.000       0         0 
880.000-880.500       0         0 
880.500-881.000       0         0 
881.000-881.500       0         0 
881.500-882.000       0         0 
882.000-882.500       0         0 
882.500-883.000       0         0 
883.000-883.500       0         0 
883.500-884.000       0         0 
884.000-884.500       0         0 
884.500-885.000       0         0 
885.000-885.500       0         0 
885.500-886.000       0         0 
886.000-886.500       0         0 
886.500-887.000       0         0 
887.000-887.500       0         0 
887.500-888.000       0         0 
888.000-888.500       0         0 
888.500-889.000       0         0 
889.000-889.500       0         0 
889.500-890.000       0         0 
890.000-890.500       0         0 
890.500-891.000       0         0 
891.000-891.500       0         0 
891.500-892.000       0         0 
892.000-892.500       0         0 
892.500-893.000       0         0 
893.000-893.500       0         0 
893.500-894.000       0         0 
894.000-894.500       0         0 
894.500-895.000       0         0 
895.000-895.500       0         0 
895.500-896.000       0         0 
896.000-896.500       0         0 
896.500-897.000       0         0 
897.000-897.500       0         0 
897.500-898.000       0         0 
898.000-898.500       0         0 
898.500-899.000       0         0 
899.000-899.500       0         0 
899.500-900.000       0         0 
900.000-900.500       0         0 
900.500-901.000       0         0 
901.000-901.500       0         0 
901.500-902.000       0         0 
902.000-902.500       0         0 
902.500-903.000       0         0 
903.000-903.500       0         0 
903.500-904.000       0         0 
904.000-904.500       0         0 
904.500-905.000       0         0 
905.000-905.500       0         0 
905.500-906.000       0         0 
906.000-906.500       0         0 
906.500-907.000       0         0 
907.000-907.500       0         0 
907.500-908.000       0         0 
908.000-908.500       0         0 
908.500-909.000       0         0 
909.000-909.500       0         0 
909.500-910.000       0         0 
910.000-910.500       0         0 
910.500-911.000       0         0 
911.000-911.500       0         0 
911.500-912.000       0         0 
912.000-912.500       0         0 
912.500-913.000       0         0 
913.000-913.500       0         0 
913.500-914.000       0         0 
914.000-914.500       0         0 
914.500-915.000       0         0 
915.000-915.500       0         0 
915.500-916.000       0         0 
916.000-916.500       0         0 
916.500-917.000       0         0 
917.000-917.500       0         0 
917.500-918.000       0         0 
918.000-918.500       0         0 
918.500-919.000       0         0 
919.000-919.500       0         0 
919.500-920.000       0         0 
920.000-920.500       0         0 
920.500-921.000       0         0 
921.000-921.500       0         0 
921.500-922.000       0         0 
922.000-922.500       0         0 
922.500-923.000       0         0 
923.000-923.500       0         0 
923.500-924.000       0         0 
924.000-924.500       0         0 
924.500-925.000       0         0 
925.000-925.500       0         0 
925.500-926.000       0         0 
926.000-926.500       0         0 
926.500-927.000       0         0 
927.000-927.500       0         0 
927.500-928.000       0         0 
928.000-928.500       0         0 
928.500-929.000       0         0 
929.000-929.500       0         0 
929.500-930.000       0         0 
930.000-930.500       0         0 
930.500-931.000       0         0 
931.000-931.500       0         0 
931.500-932.000       0         0 
932.000-932.500       0         0 
932.500-933.000       0         0 
933.000-933.500       0         0 
933.500-934.000       0         0 
934.000-934.500       0         0 
934.500-935.000       0         0 
935.000-935.500       0         0 
935.500-936.000       0         0 
936.000-936.500       0         0 
936.500-937.000       0         0 
937.000-937.500       0         0 
937.500-938.000       0         0 
938.000-938.500       0         0 
938.500-939.000       0         0 
939.000-939.500       0         0 
939.500-940.000       0         0 
940.000-940.500       0         0 
940.500-941.000       0         0 
941.000-941.500       0         0 
941.500-942.000       0         0 
942.000-942.500       0         0 
942.500-943.000       0         0 
943.000-943.500       0         0 
943.500-944.000       0         0 
944.000-944.500       0         0 
944.500-945.000       0         0 
945.000-945.500       0         0 
945.500-946.000       0         0 
946.000-946.500       0         0 
946.500-947.000       0         0 
947.000-947.500       0         0 
947.500-948.000       0         0 
948.000-948.500       0         0 
948.500-949.000       0         0 
949.000-949.500       0         0 
949.500-950.000       0         0 
950.000-950.500       0         0 
950.500-951.000       0         0 
951.000-951.500       0         0 
951.500-952.000       0         0 
952.000-952.500       0         0 
952.500-953.000       0         0 
953.000-953.500       0         0 
953.500-954.000       0         0 
954.000-954.500       0         0 
954.500-955.000       0         0 
955.000-955.500       0         0 
955.500-956.000       0         0 
956.000-956.500       0         0 
956.500-957.000       0         0 
957.000-957.500       0         0 
957.500-958.000       0         0 
958.000-958.500       0         0 
958.500-959.000       0         0 
959.000-959.500       0         0 
959.500-960.000       0         0 
960.000-960.500       0         0 
960.500-961.000       0         0 
961.000-961.500       0         0 
961.500-962.000       0         0 
962.000-962.500       0         0 
962.500-963.000       0         0 
963.000-963.500       0         0 
963.500-964.000       0         0 
964.000-964.500       0         0 
964.500-965.000       0         0 
965.000-965.500       0         0 
965.500-966.000       0         0 
966.000-966.500       0         0 
966.500-967.000       0         0 
967.000-967.500       8      2116 
967.500-968.000      10      5010 
968.000-968.500       2      1504 
968.500-969.000      12      6320 
969.000-969.500      18      9798 
969.500-970.000       6      4512 
970.000-970.500      22     10069 
970.500-971.000      24     15324 
971.000-971.500      20     10692 
971.500-972.000      56     39545 
972.000-972.500      67     49380 
972.500-973.000      12      6902 
973.000-973.500      94     64859 
973.500-974.000      30     24729 
974.000-974.500      52     34255 
974.500-975.000     117     76500 
975.000-975.500       6      3992 
975.500-976.000      16     12379 
976.000-976.500      19      8256 
976.500-977.000      61     41952 
977.000-977.500      73     58374 
977.500-978.000      77     54130 
978.000-978.500      30     10324 
978.500-979.000       0         0 
979.000-979.500       5       340 
979.500-980.000      10       680 
980.000-980.500      39      9718 
980.500-981.000      59     24300 
981.000-981.500      30     15927 
981.500-982.000      31     24163 
982.000-982.500       8      7132 
982.500-983.000      15      4390 
983.000-983.500      53     27689 
983.500-984.000      43     23084 
984.000-984.500      44     27644 
984.500-985.000      80     41834 
985.000-985.500      93     55437 
985.500-986.000      76     61029 
986.000-986.500       6      3052 
986.500-987.000      89     82881 
987.000-987.500      14       952 
987.500-988.000      53      6844 
988.000-988.500      61     39067 
988.500-989.000       6      3660 
989.000-989.500      17      5353 
989.500-990.000      19     11511 
990.000-990.500      82     39843 
990.500-991.000      49     34478 
991.000-991.500       0         0 
991.500-992.000       0         0 
992.000-992.500      24      1632 
992.500-993.000      13      2200 
993.000-993.500      27     18508 
993.500-994.000       0         0 
994.000-994.500       0         0 
994.500-995.000       0         0 
995.000-995.500       0         0 
995.500-996.000       3       204 
996.000-996.500       0         0 
996.500-997.000       0         0 
997.000-997.500       0         0 
997.500-998.000       0         0 
998.000-998.500       0         0 
998.500-999.000       0         0 
999.000-999.500       0         0 
999.500-1000.000       0         0 
1000.000-1000.500       0         0 
1000.500-1001.000       0         0 
1001.000-1001.500       0         0 
1001.500-1002.000       0         0 
1002.000-1002.500       0         0 
1002.500-1003.000       0         0 
1003.000-1003.500       0         0 
1003.500-1004.000       0         0 
1004.000-1004.500       0         0 
1004.500-1005.000       0         0 
1005.000-1005.500       0         0 
1005.500-1006.000       0         0 
1006.000-1006.500       0         0 
1006.500-1007.000       0         0 
1007.000-1007.500       0         0 
1007.500-1008.000       0         0 
1008.000-1008.500       0         0 
1008.500-1009.000       0         0 
1009.000-1009.500       0         0 
1009.500-1010.000       0         0 
1010.000-1010.500       0         0 
1010.500-1011.000       0         0 
1011.000-1011.500       0         0 
1011.500-1012.000       0         0 
1012.000-1012.500       0         0 
1012.500-1013.000       0         0 
1013.000-1013.500       0         0 
1013.500-1014.000       0         0 
1014.000-1014.500       0         0 
1014.500-1015.000       0         0 
1015.000-1015.500       0         0 
1015.500-1016.000      18      1368 
1016.000-1016.500       0         0 
1016.500-1017.000       0         0 
1017.000-1017.500       0         0 
1017.500-1018.000       0         0 
1018.000-1018.500       0         0 
1018.500-1019.000      18      1368 
1019.000-1019.500       0         0 
1019.500-1020.000       0         0 
1020.000-1020.500       0         0 
1020.500-1021.000       0         0 
1021.000-1021.500       0         0 
1021.500-1022.000       0         0 
1022.000-1022.500       0         0 
1022.500-1023.000       0         0 
1023.000-1023.500       0         0 
1023.500-1024.000       0         0 
1024.000-1024.500       0         0 
1024.500-1025.000      16      1216 
1025.000-1025.500       2       152 
1025.500-1026.000       0         0 
1026.000-1026.500       0         0 
1026.500-1027.000       0         0 
1027.000-1027.500      18      7528 
1027.500-1028.000      36     15056 
1028.000-1028.500      96     16596 
1028.500-1029.000      13      3614 
1029.000-1029.500       1        68 
1029.500-1030.000       4       272 
1030.000-1030.500       0         0 
1030.500-1031.000       5       340 
1031.000-1031.500       4       272 
1031.500-1032.000       0         0 
1032.000-1032.500       4       272 
1032.500-1033.000       4       272 
1033.000-1033.500       4       272 
1033.500-1034.000       2       136 
1034.000-1034.500       6       408 
1034.500-1035.000       8       544 
1035.000-1035.500      20      1360 
1035.500-1036.000       6       408 
1036.000-1036.500       0         0 
1036.500-1037.000       0         0 
1037.000-1037.500       0         0 
1037.500-1038.000       0         0 
1038.000-1038.500       0         0 
1038.500-1039.000       0         0 
1039.000-1039.500       0         0 
1039.500-1040.000       0         0 
1040.000-1040.500       0         0 
1040.500-1041.000       0         0 
1041.000-1041.500       0         0 
1041.500-1042.000       0         0 
1042.000-1042.500      34      2516 
1042.500-1043.000       0         0 
1043.000-1043.500       0         0 
1043.500-1044.000       0         0 
1044.000-1044.500       0         0 
1044.500-1045.000       0         0 
1045.000-1045.500       0         0 
1045.500-1046.000       0         0 
1046.000-1046.500       0         0 
1046.500-1047.000       0         0 
1047.000-1047.500       0         0 
1047.500-1048.000       0         0 
1048.000-1048.500       0         0 
1048.500-1049.000       0         0 
1049.000-1049.500      65     11473 
1049.500-1050.000       0         0 
1050.000-1050.500       2       550 
===================================================================
